Event, subcl, eta_center, phi_center, time_center, eta_sig, phi_sig, etaphi_cov, timeeta_cov, energy, sw+
3, 0, -0.935763, 1.50491, -0.214574, 0.0196392, 0.0200473, 0.00564394, -0.131716, 231.954, 0.714786
11, 0, -0.894908, 2.95852, 0.133584, 0.0223279, 0.0273213, 0.0355317, 0.209953, 61.223, 0.806755
12, 0, 0.584164, 5.054, -0.140549, 0.0201446, 0.0209283, 0.00861381, 0.00693875, 558.664, 0.862621
90, 0, -0.192156, 0.738284, 0.297301, 0.0181797, 0.0215608, 0.0135484, 0.0730275, 42.9314, 0.583646
91, 0, 0.821267, 0.160815, -0.0646996, 0.0190111, 0.0201609, 0.0152177, -0.0173097, 562.775, 0.294609
95, 0, 0.422106, 3.83715, -0.0936424, 0.0198316, 0.020283, -0.0188123, 0.0611359, 245.892, 1.22439
97, 0, -0.0135641, 1.88299, -0.201231, 0.0190503, 0.0203009, -0.0164364, 0.0328461, 308.992, 1.1055
907, 0, 1.30691, 4.92728, -0.164834, 0.0186493, 0.0303877, -0.00168021, -0.0756365, 382.796, 0.485349
909, 0, 1.25522, 2.65842, 0.253409, 0.0186049, 0.0196484, -0.00723859, -0.0917315, 537.498, 0.511465
914, 0, 1.39223, 4.42495, -0.160864, 0.0182529, 0.0186146, 0.00140455, 0.122013, 106.727, 0.186742
915, 0, 0.658235, 1.30252, 0.173954, 0.0190427, 0.0186752, -0.00218713, 0.106686, 107.284, 0.313953
916, 0, 0.544474, 3.44764, -0.0822468, 0.0186191, 0.0256431, -0.00998527, -0.041106, 59.7558, 0.74612
923, 0, 1.19677, 5.3123, -0.195472, 0.0194912, 0.0223453, -0.0490424, -0.172852, 66.8008, 0.698324
940, 0, 0.961187, 2.78635, 0.149939, 0.0208807, 0.0198713, 0.133271, 0.174663, 68.4477, 0.334924
943, 0, 0.543537, 0.470216, -0.100373, 0.0184148, 0.0264183, -0.0137601, 0.0709073, 57.433, 0.89306
951, 0, -1.32769, 6.10879, -0.016492, 0.0233172, 0.0247783, -0.0278725, -0.194572, 241.64, 0.551382
954, 0, 0.974401, 2.86556, 0.593908, 0.0197412, 0.0257108, -0.149992, 0.0680825, 52.8076, 1.12396
961, 0, 0.992773, 1.75353, -0.07407, 0.0188905, 0.0187053, 0.0478652, -0.0973941, 47.5228, 0.177491
965, 0, 0.940488, 1.9572, -0.335352, 0.0183484, 0.0202145, -0.00252139, 0.0177775, 128.52, 0.940034
970, 0, -1.02827, 1.05551, -0.0596493, 0.0183342, 0.0183314, -0.0020693, -0.20317, 53.9284, 0.173469
977, 0, 1.2204, 2.46877, -0.0332055, 0.0183711, 0.0276256, 0.086706, -0.0553989, 57.2134, 0.38178
100, 0, -1.2161, 5.71804, 0.391165, 0.0194667, 0.0203878, -0.0024558, 0.1748, 875.4, 0.531393
992, 0, 0.670452, 3.74482, 0.0269629, 0.0199325, 0.0189655, 0.0016743, -0.131524, 305.579, 1.09241
995, 0, -1.10427, 1.44489, -0.186925, 0.0195745, 0.0271231, 0.0264137, 0.0328629, 356.429, 1.71898
999, 0, -0.208816, 4.80849, 0.268144, 0.0189043, 0.0204496, -0.0688991, 0.135531, 54.7528, 0.223175
1000, 0, -1.22115, 5.15926, 0.0451162, 0.0233877, 0.0549799, -0.181487, -0.0419815, 119.098, 0.384885
1002, 0, 0.88749, 1.24978, -0.374792, 0.0191402, 0.0206215, 0.00164812, -0.0668809, 270.858, 0.565608
1003, 0, -1.01559, 5.40641, 0.395359, 0.0197947, 0.0207731, -0.0445052, 0.0670152, 82.9848, 0.396253
1006, 0, 0.0816685, 0.516144, 0.336793, 0.0220819, 0.0221528, -0.000398142, 0.0198054, 91.3203, 0.520309
1008, 0, -0.191431, 0.18303, -0.121874, 0.0217416, 0.0202254, -0.124521, -0.0265338, 28.017, 0.650531
1009, 0, -0.524316, 3.81371, 0.14572, 0.0183586, 0.0206832, 0.00233963, 0.0360053, 365.232, 0.158792
1011, 0, 1.32299, 5.82121, 0.262061, 0.0188148, 0.0372328, -0.172219, -0.0653267, 103.353, 0.583712
1014, 0, -0.138882, 4.9135, 0.0164634, 0.018624, 0.0200722, -0.000501869, 0.0595704, 231.127, 0.274452
1016, 0, 0.840938, 0.00910235, -0.100084, 0.018913, 0.0175888, 0.00516857, -0.108144, 208.29, 0.663444
1021, 0, -0.0643863, 5.39615, 0.17409, 0.0192946, 0.019904, -0.00693217, -0.0573833, 477.237, 0.382397
1024, 0, -0.16913, 0.792358, -0.0753737, 0.0213377, 0.0195088, 0.112431, 0.0752575, 21.7389, 0.828326
