Event,subcl,eta_center,phi_center,time_center,eta_sig,phi_sig,etaphi_cov,timeeta_cov,energy,sw+,label
3,0,-0.935763,1.50491,-0.214574,0.0196392,0.0200473,0.00564394,-0.131716,231.954,0.714786,-1
11,0,-0.894908,2.95852,0.133584,0.0223279,0.0273213,0.0355317,0.209953,61.223,0.806755,-1
12,0,0.584486,5.05429,-0.125413,0.0204539,0.0215089,0.0142706,0.0746174,571.774,0.862621,-1
906,0,0.146288,5.35781,0.0887669,0.0218353,0.0229332,0.0511347,-0.0605786,82.2689,0.604217,-1
917,0,-0.749357,4.11216,0.308064,0.0202973,0.0181654,0.000543191,-0.192245,31.8943,0.475373,-1
923,0,0.404182,5.67952,-0.107825,0.0196891,0.0186881,-0.000426191,-0.149785,127.244,0.470732,-1
924,0,1.33703,0.492008,-0.242802,0.0191752,0.042103,-0.0768377,-0.00936616,190.671,0.378916,-1
927,0,-0.870889,3.13299,0.0593126,0.0189315,0.019107,0.00256089,-0.0297209,616.14,0.176382,-1
928,0,-1.29734,3.67461,-0.0806195,0.0230418,0.0442069,0.0991184,-0.135259,43.4651,0.731235,-1
932,0,-0.305408,0.161353,0.669869,0.0220745,0.0183601,-0.0116463,-0.128738,11.3022,1.19837,-1
939,0,0.713148,5.70382,-0.0294372,0.01847,0.0210652,0.00263795,-0.052422,241.181,0.803149,-1
960,0,-0.881331,5.94217,0.300256,0.0201884,0.0191557,0.000126728,0.0123818,557.461,1.03176,-1
976,0,1.29052,5.86055,-0.195642,0.0193952,0.031798,0.0771183,0.00833909,318.036,0.246379,-1
977,0,-0.179361,3.36203,0.0162196,0.0199162,0.0191658,-0.00719727,-0.0644144,520.614,0.579654,-1
978,0,0.154848,5.92939,0.295573,0.0183672,0.0195139,-0.00428707,0.0931851,88.7619,0.366857,-1
984,0,-0.647829,5.56918,-0.131082,0.0196748,0.020543,-0.00478193,0.0279025,545.917,1.01317,-1
988,0,0.80272,0.72425,-0.0688926,0.0191713,0.0224203,0.00415975,-0.135823,465.777,0.12861,-1
101,0,-0.191665,3.70931,0.290318,0.0180366,0.0200133,0.00180052,0.0915684,144.489,0.259741,-1
999,0,0.24421,3.12669,0.123378,0.0185245,0.0199533,-0.0102604,0.0986615,76.0671,0.622762,-1
1002,0,0.00959523,4.05118,-0.159606,0.0192889,0.0206105,-0.0590854,-0.173523,170.607,0.936764,-1
1011,0,-0.85454,5.3317,-0.182428,0.0188711,0.0233719,-0.0171306,-0.0643039,659.813,0.196176,-1
1012,0,1.17067,6.07648,0.116333,0.0188767,0.0299225,-0.141767,0.0901318,130.54,0.310803,-1
1015,0,-1.27092,5.62494,-0.200389,0.0183392,0.0278614,-0.00344155,-0.0512685,144.368,0.339725,-1
1023,0,0.908309,0.675635,0.0775288,0.0190381,0.0195963,0.0139638,-0.12986,547.924,0.302127,-1
1026,0,0.644971,5.72432,0.105742,0.0185442,0.0200711,-0.00673503,0.0931641,223.299,0.856164,-1
1029,0,0.963089,3.48538,0.318041,0.0195506,0.0278063,0.038238,0.0239463,166.193,0.416878,-1
1031,0,-1.04387,5.8737,0.0214288,0.0187938,0.0193418,0.00724644,-0.110016,683.419,0.154347,-1
1035,0,-0.841433,6.01153,0.300526,0.019034,0.0288453,-0.0125353,0.110049,77.0926,1.08842,-1
1041,0,-0.159534,3.65464,-0.176481,0.0223475,0.0200759,-0.13135,-0.36659,14.3661,0.878239,-1
1042,0,1.00987,0.5999,0.0663466,0.0192115,0.0192394,-0.00142782,-0.072616,29.2685,0.438881,-1
1044,0,0.380762,0.201266,-0.138802,0.0179979,0.0350881,0.00864905,0.0217051,32.968,0.354181,-1
1050,0,1.23657,5.75144,0.902059,0.0219247,0.0206911,-0.143016,0.04099,97.7737,0.451418,-1
1052,0,1.17034,4.82019,0.0470136,0.018689,0.0280202,0.0122662,-0.0275648,265.667,0.775809,-1
1055,0,-0.380679,0.568135,0.192972,0.0189195,0.0192403,-0.000874435,-0.0368032,440.476,0.184685,-1
1064,0,0.177333,1.74241,0.227605,0.0233072,0.0227179,0.22509,0.259445,36.8847,0.822638,-1
1065,0,1.37574,2.52747,0.0602116,0.0189711,0.0202649,0.0162857,-0.113111,1046.62,0.613499,-1
1073,0,-1.05033,4.99533,-0.0565249,0.0200549,0.0198207,0.0248378,0.0827123,683.467,0.633508,-1
1076,0,-0.695948,6.24204,-0.259544,0.0185634,0.0205958,-0.00233878,-0.0805133,204.002,0.571979,-1
1078,0,0.539322,0.740278,0.311723,0.0230587,0.0241116,-0.0055104,0.165192,55.6571,0.693971,-1
107,0,-0.440996,4.27237,-0.00999388,0.0206044,0.0470808,-0.158963,-0.127949,41.2304,0.496154,-1
113,0,0.763666,1.64086,0.325555,0.018561,0.0507251,-0.0868448,-0.118174,111.411,0.932657,-1
115,0,0.888831,6.01393,0.0712836,0.01875,0.0195483,0.00376668,0.0849311,444.018,0.277716,-1
1079,0,0.349966,2.75211,-0.114028,0.0187154,0.0266256,0.0605699,0.190339,35.002,0.276574,-1
1084,0,0.90307,2.7837,-0.141436,0.0205205,0.018437,-0.0554902,-0.0211354,62.9103,0.386889,-1
1089,0,-1.33064,6.12013,0.355315,0.0244392,0.0358524,0.0217417,-0.00155866,102.888,0.777208,-1
1091,0,-0.683507,3.80752,0.0574846,0.0190775,0.0196309,0.00115636,0.150796,50.1523,0.895471,-1
1099,0,-1.3152,0.0614262,0.0625081,0.0218847,0.0389993,-0.151658,0.0332116,110.43,2.0247,-1
1100,0,0.117463,6.11526,-0.0176816,0.0191322,0.0200676,0.0187096,0.0164046,67.3996,0.276656,-1
1104,0,1.25242,0.343775,-0.0169585,0.0199141,0.0305276,-0.00125335,-0.0284415,510.77,0.515479,-1
1113,0,-1.27395,5.80647,-0.0807688,0.0185127,0.0351338,0.131442,-0.0206256,62.9594,0.582457,-1
1118,0,0.114619,3.5745,0.108993,0.0206926,0.0218272,-0.068427,0.00174127,111.658,0.492331,-1
1119,0,-1.32539,1.39877,0.0975633,0.0204709,0.0390613,0.347724,0.020258,333.522,0.27804,-1
1123,0,-1.34038,5.80448,0.238228,0.018729,0.0195905,0.00371378,0.0110399,1113.92,0.167749,-1
1124,0,-1.39232,3.7967,-0.466385,0.0184231,0.018609,0.00203574,-0.0210449,122.608,0.195978,-1
1127,0,0.281418,0.71902,-0.160312,0.0189789,0.0406785,-0.0129167,0.0702448,33.1069,0.825649,-1
1137,0,-0.976274,2.99518,0.524977,0.0195635,0.0264534,-0.0958305,-0.115278,47.138,1.0237,-1
1141,0,-0.101962,3.07381,0.291672,0.0218098,0.0225739,-0.0157117,-0.0732769,97.2807,0.356168,-1
1149,0,-0.648949,5.71092,0.0043954,0.0194617,0.019084,0.01887,-0.0524308,66.6485,0.584607,-1
1151,0,-0.967634,0.745282,-0.0958786,0.0199106,0.0207954,0.000798453,-0.0312528,234.287,1.68033,-1
1162,0,-1.29223,4.44205,0.20008,0.0197828,0.0257236,0.149496,-0.0549699,646.039,0.250999,-1
1163,0,0.0322318,0.200887,0.0289389,0.018987,0.0206117,-0.00515242,-0.0401761,303.444,0.375365,-1
117,0,0.940683,0.111769,-0.0772927,0.0187633,0.0193715,0.00446395,-0.000212078,658.832,0.190585,-1
122,0,-0.300477,1.75328,-0.166876,0.019527,0.018392,0.00324589,-0.0566184,66.9133,0.563402,-1
1178,0,-0.189178,3.73866,0.0728948,0.0201954,0.0242896,0.148631,0.00481251,39.7602,1.28669,-1
1184,0,-1.21367,5.04973,0.187629,0.0238836,0.0275427,-0.157668,-0.0222023,90.8452,0.912104,-1
1187,0,-1.30878,0.374643,0.169015,0.0201621,0.0398209,0.0202038,-0.0586803,421.112,0.284186,-1
1192,0,0.885862,3.13439,-0.273164,0.0260486,0.0666693,0.147307,-0.0922642,72.3182,1.26321,-1
1203,0,-0.102578,6.00375,-0.320094,0.0190811,0.0206116,-0.00167529,-0.0392243,367.053,1.1394,-1
1210,0,-0.228401,0.281917,0.112747,0.0191586,0.0199268,0.000342095,0.00226548,97.1533,0.799117,-1
1213,0,0.0313412,3.27152,0.128591,0.0185868,0.0186536,0.00102126,-0.184665,104.052,0.187631,-1
1222,0,-0.145524,5.75143,0.143193,0.0202033,0.0201826,-0.0137871,-0.00142624,444.031,0.618346,-1
1242,0,0.221356,1.7924,0.262692,0.0234824,0.0211522,-0.0473644,-0.190559,71.7014,0.717047,-1
1242,1,0.208638,1.78894,0.291769,0.0226349,0.0242733,0.181165,-0.089416,72.8152,0.23611,-1
1254,0,0.820644,6.18545,-0.0703777,0.0183321,0.0193282,-0.00353555,-0.0626248,170.296,0.28249,-1
1255,0,1.05612,3.13931,0.39558,0.0217835,0.0334244,-0.00855391,-0.028925,75.0486,0.458153,-1
129,0,1.18731,0.951204,0.234958,0.0190783,0.0195407,-0.00233861,0.0199537,890.51,0.209596,-1
131,0,0.0491313,0.672328,0.373223,0.0183491,0.0184546,-0.00088173,0.0257528,80.7611,0.151786,-1
1260,0,-0.911714,4.5408,0.230468,0.0199309,0.0280352,0.0861244,0.0295889,464.813,0.631593,-1
1264,0,-0.88558,1.31217,0.24943,0.0195834,0.0201635,-0.0170603,0.0519949,450.937,0.676284,-1
1269,0,-0.792556,4.26888,0.386376,0.021576,0.0213426,-0.0418345,-0.0298713,484.304,0.124064,-1
1270,0,0.661317,0.567541,-0.234082,0.0186119,0.0189777,-0.000119564,0.0597905,216.57,0.177069,-1
1282,0,-0.158444,6.17139,0.264581,0.019127,0.0190081,-0.00804044,-0.0494165,335.851,0.244595,-1
1286,0,0.214708,0.933946,0.115306,0.0200158,0.0191764,-0.0176081,0.0422133,489.909,0.650387,-1
1287,0,0.874365,0.135746,-0.225692,0.0194115,0.0456268,0.282586,-0.171464,58.1259,0.186241,-1
1297,0,-1.21381,5.02408,0.857046,0.0250011,0.108399,0.398136,-0.113359,41.355,1.73135,-1
1299,0,-0.753134,0.116419,0.025956,0.0198568,0.0274279,-0.0502775,0.0218269,400.757,0.660929,-1
1301,0,1.04361,4.56887,-0.114014,0.0183017,0.0196902,-0.00135573,-0.0644919,103.094,0.531706,-1
1302,0,-0.260218,0.194338,0.00905474,0.0185332,0.0218225,0.0982832,0.1345,97.4306,0.985335,-1
